id_trab,tipo,01/01,02/01,03/01,04/01,05/01,06/01,07/01,08/01,09/01,10/01,11/01,12/01,13/01,14/01,15/01,16/01,17/01,18/01,19/01,20/01,21/01,22/01,23/01,24/01,25/01,26/01,27/01,28/01,29/01,30/01,31/01
PAT040,patron,LIBRE,LIBRE,LIBRE,LIBRE,VADP003,LIBRE,LIBRE,VADP003,LIBRE,LIBRE,VADU47127,LIBRE,VADP003,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,VADU47127,LIBRE,VADU47127,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,VADU47127,LIBRE
PAT041,patron,LIBRE,LIBRE,VADP003,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,VADU47127,LIBRE,LIBRE,VADU47127,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,VADP003,LIBRE,LIBRE,VADU47127,LIBRE,VADU47127,LIBRE,LIBRE,VADP003
PAT042,patron,LIBRE,VADP003,LIBRE,LIBRE,VADU47127,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,VADU47127,LIBRE,VADU47127,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,VADP003,LIBRE,VADP003,LIBRE,VADP003,LIBRE,LIBRE,VADP003,LIBRE,LIBRE
PAT043,patron,VADU47127,LIBRE,LIBRE,LIBRE,LIBRE,VADU47127,LIBRE,VADU47127,LIBRE,LIBRE,LIBRE,VADP003,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,VADP003,LIBRE,VADU47127,LIBRE,LIBRE,LIBRE,LIBRE,VADU47127,LIBRE,LIBRE,VADP003,LIBRE,LIBRE,LIBRE
PAT044,patron,LIBRE,LIBRE,LIBRE,VADP003,LIBRE,VADP003,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,VADP003,LIBRE,LIBRE,LIBRE,VADP003,LIBRE,VADU47127,LIBRE,LIBRE,LIBRE,LIBRE,VADU47127,LIBRE,VADU47127,LIBRE,LIBRE
PAT045,patron,LIBRE,LIBRE,LIBRE,VADU47127,LIBRE,LIBRE,LIBRE,LIBRE,VADP003,LIBRE,VADP003,LIBRE,LIBRE,LIBRE,VADP003,LIBRE,VADP003,LIBRE,VADP003,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,VADP003,LIBRE,LIBRE,LIBRE,LIBRE
PAT046,patron,VADP003,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,VADP003,LIBRE,LIBRE,VADP003,LIBRE,LIBRE,LIBRE,VADP003,LIBRE,LIBRE,VADU47127,LIBRE,VADU47127,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,VADP003,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,VADU47127
COR001,correturno,VADN038,LIBRE,LIBRE,LIBRE,VADN012,VADN001,VADN012,VADN012,VADN012,LIBRE,LIBRE,VADN012,VADN012,VADN022,VADN012,LIBRE,LIBRE,VADN177,LIBRE,LIBRE,VADN001,VADN022,VADN001,VADN022,LIBRE,VADN176,LIBRE,VADN001,VADN022,VADP003,LIBRE
COR002,correturno,LIBRE,VADN011,VADU47127,LIBRE,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VADN013,VADN013,VADN013,VADN013,LIBRE,LIBRE,VADN013,VADN013,VADN013,VADN013,VADN013,VADN002
COR003,correturno,VADN028,LIBRE,VADN003,LIBRE,VADN171,LIBRE,VADN040,VADN171,VADN171,LIBRE,LIBRE,VADN171,VADN171,VADN171,VADN171,VADN171,LIBRE,LIBRE,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC
COR004,correturno,LIBRE,LIBRE,LIBRE,LIBRE,VADN007,VADN004,VADN007,VADN007,VADN007,LIBRE,LIBRE,VADN007,VADN007,VADN051,VADN051,LIBRE,LIBRE,LIBRE,VADN172,VADN172,VADN172,VADN029,LIBRE,LIBRE,VADN051,LIBRE,VADN172,VADN172,VADN172,VADN172,LIBRE
COR005,correturno,LIBRE,VADN030,LIBRE,LIBRE,VADN008,LIBRE,VADN005,LIBRE,LIBRE,VADN052,LIBRE,VADN023,VADN005,VADN030,LIBRE,LIBRE,VADN052,LIBRE,VADN008,VADN008,VADN052,LIBRE,LIBRE,VADN052,LIBRE,VADN008,VADN008,VADN005,VADN008,VADN008,VADN030
COR006,correturno,LIBRE,VADN024,VADN031,LIBRE,VADN009,LIBRE,LIBRE,VADN006,VADN006,VADN006,LIBRE,VADN024,LIBRE,VADN006,VADN006,VADN024,LIBRE,LIBRE,VADN006,VADN006,LIBRE,LIBRE,VADN024,VADN031,LIBRE,VADN006,LIBRE,VADN024,VADN024,VADN031,VADN027
