id_trab,id_turno,lv,sab,dom,fest,v
COR005,VADN005,0,0,0,0,1
COR006,VADN006,0,0,0,0,1
COR001,VADN022,0,0,0,0,1
COR002,VADN025,0,0,0,0,1
COR003,VADN028,0,0,0,0,1
COR004,VADN029,0,0,0,0,1
COR005,VADN030,0,0,0,0,1
COR006,VADN031,0,0,0,0,1
COR001,VADN032,0,0,0,0,1
COR002,VADN034,0,0,0,0,1
COR003,VADN040,0,0,0,0,1
COR004,VADN051,0,0,0,0,1
COR005,VADN052,0,0,0,0,1
COR006,VADN027,0,0,0,0,1
COR001,VADN038,0,0,0,0,1
COR002,VADN026,0,0,0,0,1
COR003,VADN152,0,0,0,0,1
COR004,VADN162,0,0,0,0,1
COR005,VADN173,0,0,0,0,1
COR006,VADN181,0,0,0,0,1
COR001,VADN194,0,0,0,0,1
COR001,VADP003,0,0,0,0,1
COR002,VADU47127,0,0,0,0,1
COR001,VADN177,0,0,0,0,1
